Catálogo de Livros da Ateliê Editoral,,,,
,,,,
Lista gerada em 29/06/2020 - 22:28:52,,,,
,,,,
,,,,
Titulo,Isbn,Autor,Assunto,Valor
EraOdito,85-7480-094-5,Marcelino Freire,"Humor, Literatura brasileira, Ilustrado","R$48,00"
Escola de Semiótica - A Experiência de Tártu-Moscou para o Estudo da Crítica,85-7480-117-8,Irene Machado,Semiótica,"R$38,00"
"Escrita de Deus, A",85-7480-282-4,Wilson Roberto Theodoro Filho,"Literatura brasileira, Contos","R$40,00"
Escritas do Desejo - Crítica Literária e Psicanálise,978-85-7480-570-2,"Cleusa Rios P. Passos, Yudith Rosenbaum","Crítica literária, Psicanálise e Psicologia","R$38,00"
Escrito sobre Jade - Poesia Clássica Chinesa,978-85-7480-438-5,Haroldo de Campos,"Poesia, Literatura estrangeira, Bilíngue, Ilustrado","R$47,00"
"Escritores, Gatos e Teologia",978-85-7480-674-7,Waldecy Tenório,"Literatura brasileira, Crítica literária, Religião","R$45,00"
Escritura e Nomadismo,85-7480-192-5,Paul Zumthor,"Arte, Estética","R$39,50"
Esplendor do Barroco Luso-brasileiro,978-85-7480-700-3,Benedito Lima de Toledo,"Ilustrado, Arte, Arquitetura","R$109,00"
"Espuma do Fogo, A",85-7480-097-X,Carlos Nejar,"Literatura brasileira, Poesia","R$30,00"
Espumas Flutuantes,85-85851-36-8,"José de Paula Ramos Jr., Castro Alves","Literatura brasileira, Poesia, Ilustrado","R$37,00"
Estados da Crítica,85-7480-322-7,Alcides Cardoso dos Santos,"Crítica literária, Literatura","R$44,00"
Estandartes das Tribos de Israel,85-7480-065-1,"Virgílio Maia, Socorro Torquato","Arte, Poesia, Ilustrado","R$38,00"
Estimar Canções,978-85-74-80-737-9,Luiz Tatit,"Arte, Música, Semiótica","R$38,00"
Estrelas Errantes - Memória do Teatro Ídiche no Brasil,978-85-7480-648-8,Nachman Falbel,"Ilustrado, Memória, História, Teatro","R$140,00"
"Estudos Comparados - Teoria, Crítica e Metodologia",978-85-7480-677-8,Benjamin Abdala Jr.,"Literatura brasileira, Crítica literária","R$68,00"
Estudos de Literatura Brasileira e Portuguesa,978-85-7480-353-1,Paulo Franchetti,"Literatura brasileira, Crítica literária, Literatura portuguesa","R$63,00"
Estudos sobre Vieira,978-85-7480-544-3,"João Adolfo Hansen, Hélder Garmes, Adma Muhana",Crítica literária,"R$43,00"
Ética e Educação,978-85-7480-597-9,Nílson José Machado,"Educação e Pedagogia, Cidadania","R$34,00"
Euclides da Cunha: Uma Odisseia nos Trópicos,978-85-7480-440-8,Frederic Amory,"Crítica literária, Biografia, Ilustrado","R$98,00"
Eugênio Montale - Criatividade Poética e Psicanálise,85-7480-084-8,Marisa Pelella Mélega,"Crítica literária, Poesia, Literatura estrangeira, Psicanálise e Psicologia","R$37,00"
Eugênio Onêguin - Volume 1,978-85-7480-825-3,"Aleksandr Púchkin, Elena Vássina, Alípio Correia de Franca Neto","Bilíngue, Ilustrado, Romance, Literatura estrangeira, Tradução, Poesia","R$78,00"
Ex-Libris,978-85-7480-274-9,Plinio Martins Filho,"Editoração, História, Heráldica, Artes gráficas, Ilustrado","R$79,00"
Exílio - As Histórias da Grande Peste,978-85-7480-364-7,Samuel Reibscheid,"Literatura brasileira, Contos","R$43,00"
Extravio Marinho,978-85-7480-500-9,Simone Homem de Mello,"Literatura brasileira, Poesia","R$47,00"
Fala D. João,978-85-7480-807-9,Hélio Cabral,"Poesia, Ilustrado, Arte","R$42,00"
"Falo no Jardim - Priapeia Grega, Priapeia Latina",85-7480-300-6,João Ângelo Oliva Neto,"Poesia, Literatura estrangeira, Mitologia, Bilíngue, Literatura clássica, Ilustrado","R$99,50"
Farsa de Inês Pereira,978-8-57-480681-5,"Carlos Cortez Minchillo, Izeti Fragata Torralvo, Gil Vicente","Idade média, Cultura medieval, Literatura portuguesa, Literatura medieval, Teatro, Ilustrado","R$28,50"
Fascinação,978-85-7480-821-5,"Flavio de Souza, Luci Collin","Literatura, Ilustrado, Literatura brasileira, Romance","R$49,90"
Fábulas para o Ano 2000,85-85851-61-9,"Gustavo Martins, Rodrigo Lacerda","Literatura brasileira, Contos, Infantil, Ilustrado","R$32,00"
Feito Eu,978-85-7480-342-5,Elisa Nazarian,"Literatura brasileira, Poesia","R$35,00"
Fetichismos Visuais - Corpos Erópticos e Metrópole Comunicacional,978-85-7480-719-5,Massimo Canevacci,"Comunicação, Ilustrado","R$62,00"
"Ficção da Escrita, A",85-7480-228-X,Cláudia Amigo Pino,"Crítica literária, Literatura, Criação","R$48,00"
Figurações do Oitocentos,978-85-7480-339-5,Paulo Motta Oliveira,"Crítica literária, História, Teatro, Cultura, Estética","R$56,00"
Figuras do Feminino na Canção de Chico Buarque,85-7480-003-1,Adélia Bezerra de Meneses,"Música, Poesia, Ilustrado","R$78,00"
"Filho do Crucificado, O",85-7480-077-5,Nelson de Oliveira,"Literatura brasileira, Contos","R$42,00"
Filosofando com o Miró,85-7480-004-X,Eduardo Etzel,"Memória, Literatura brasileira","R$45,00"
"Fluxo Silencioso das Máquinas, O",85-7480-087-2,Bruno Zeni,"Literatura brasileira, Contos","R$38,00"
Fogos de Artifício: Flaubert e a Escritura,978-85-7480-454-5,Verónica Galíndez-Jorge,"Crítica literária, Literatura estrangeira","R$42,00"
Fúria Azul - Antielegias,978-85-7480-593-1,Carlos Nejar,"Literatura brasileira, Poesia","R$48,00"
"Forma do Livro, A - Ensaios sobre Tipografia e Estética do Livro",978-85-7480-361-6,Jan Tschichold,"Design, Tipografia, Editoração, Livros sobre livros, Artes gráficas, Ilustrado","R$93,00"
Fotografia & História,978-85-7480-683-9,Boris Kossoy,"Memória, História, Fotografia, Ilustrado","R$52,00"
Fragmentos do Narciso e Outros Poemas,978-85-7480-657-0,"Paul Valéry, Júlio Castañon Guimarães","Poesia, Literatura estrangeira, Bilíngue, Tradução","R$53,00"
Fragmentos do Sol Chuvoso,978-85-7480-501-6,Lauro Henriques Jr.,"Literatura brasileira, Poesia","R$43,00"
"Franceses, Mais um Esforço se Quiserdes Ser Republicanos",978-85-7480-536-8,Marquês de Sade,"Literatura estrangeira, Política, Sociologia e Sociedade","R$17,00"
Franklin Távora e o seu Tempo,85-85851-47-3,Cláudio Aguiar,Biografia,"R$40,00"
Frei Galvão - Arquiteto,978-85-7480-349-4,Benedito Lima de Toledo,"Memória, Arquitetura, Patrimônio Histórico, Ilustrado","R$40,00"
Freud - A Conquista do Proibido,85-7480-010-4,Renato Mezan,Biografia,"R$30,00"
"Fronteiras Culturais - Brasil, Uruguai, Argentina",85-7480-122-4,Maria Helena Martins,"Sociologia e Sociedade, Economia, Cultura","R$48,00"
Gérard de Nerval: A Escrita em Trânsito,978-85-7480-456-9,Marta Kawano,"Crítica literária, Literatura estrangeira","R$45,00"
Gérard de Nerval: Cinquenta Poemas,978-85-7480-659-4,"Mauro Gama, Gérard de Nerval","Poesia, Literatura estrangeira, Bilíngue, Tradução","R$60,00"
Geórgicas,978-85-7480-838-3,"Virgílio, Paulo Sergio de Vasconcellos, Odorico Mendes","Poesia, Bilíngue, Tradução, Odorico Mendes, Literatura clássica","R$98,00"
Gentíssima,978-85-7480-344-9,Maria Ignez Corrêa da Costa Barbosa,"Memória, Entrevistas","R$52,00"
Geometrias de Cosmos,978-85-7480-828-4,Rodrigo Suzuki Cintra,"Literatura, Poesia","R$49,50"
Geomorfologia do Sítio Urbano de São Paulo,978-85-7480-335-7,Aziz Ab Sáber,"Geografia, Urbanismo, Ilustrado","R$47,00"
"Gil Vicente - O Velho da Horta, Auto da Barca do Inferno, Farsa de Inês Pereira (40a ed.)",978-85-7480-784-3,Segismundo Spina,"Teatro, Literatura portuguesa, Literatura medieval, Ilustrado, Idade média, Cultura medieval","R$35,00"
Girassol Voltado para a Terra,978-85-7480-723-2,Renato Tardivo,"Literatura brasileira, Contos, Ilustrado","R$44,00"
Goethe e Hackert - Sobre a Pintura de Paisagem,978-85-7480-262-6,Claudia Valladão de Mattos,"Arte, Ilustração e pintura","R$35,00"
Gramática Integral da Língua Portuguesa,978-85-7480-787-4,Antônio Suárez Abreu,"Comunicação, Escrita, Linguística","R$93,00"
"Grito de Jorge Andrade, O - A Experiência de um Autor na Telenovela Brasileira dos Anos 1970",978-85-7480-655-6,Sabina Reggiani Anzuategui,"Cultura, Televisão","R$42,00"
"Guarani, O",978-85-7480-668-6,"Eduardo Vieira Martins, José de Alencar","Literatura brasileira, Romance, Ilustrado","R$44,00"
"Guimarães Rosa - Fronteiras, Margens, Passagens",85-7480-210-7,Marli Fantini Scarpelli,"Literatura brasileira, Crítica literária","R$65,00"
Gustavo Giovannoni - Textos Escolhidos,978-85-7480-601-3,Beatriz Mugayar Kühl,"Arquitetura, Restauração","R$45,00"
Hannah Arendt & Karl Marx - O Mundo do Trabalho,978-85-7480-790-4,Eugenia Sales Wagner,"Política, Sociologia e Sociedade, Economia","R$49,00"
Hannah Arendt - Ética e Política,978-85-7480-705-8,Eugenia Sales Wagner,"Política, Sociologia e Sociedade","R$65,00"
"Hino Homérico a Apolo, O",85-7480-091-0,Luiz Alberto Machado Cabral,"Crítica literária, Poesia, Mitologia, Bilíngue, Ilustrado","R$72,00"
Hipóteses de Amor,85-7480-085-6,Annalisa Cima,"Poesia, Literatura estrangeira, Bilíngue, Ilustrado, Tradução","R$76,00"
História da Língua Portuguesa,978-85-7480-398-2,-,"Paleografia, História, Literatura, Linguística","R$98,00"
"História das Aventuras de Joseph Andrews e seu Amigo o Senhor Abraham Adams, A",978-85-7480-532-0,Henry Fielding,"Romance, Literatura estrangeira, Ilustrado, Tradução","R$105,00"
História do PT,978-85-7480-789-8,Lincoln Secco,"Ilustrado, Política, História, Sociologia e Sociedade","R$49,00"
Histórias de Banheiro,978-85-7480-474-3,Dirce de Assis Cavalcanti,"Literatura brasileira, Contos","R$43,00"
Histórias em Imagens e Versos - Wilhelm Busch,978-85-7480-771-3,"Guilherme de Almeida, Wilhelm Busch, Simone Homem de Mello","Tradução, Arte, Artes gráficas, Bilíngue, Humor, Ilustração e pintura, Ilustrado, Infantil","R$82,00"
Hong Kong & Outros Poemas,85-85851-92-9,Antônio Moura,"Literatura brasileira, Poesia","R$26,00"
"Horizonte da Minha Pele, O",978-85-7480-549-8,Emilio Bejel,"Romance, Literatura estrangeira, Biografia","R$51,00"
Ícaro,978-85-7480-334-0,Gabriel Pedrosa,"Literatura brasileira, Poesia, Ilustrado","R$26,00"
"Idade da Aurora, A",85-7480-150-X,Carlos Nejar,"Literatura brasileira, Poesia","R$75,00"
"Idade da Noite, A",85-7480-120-8,Carlos Nejar,"Literatura brasileira, Poesia","R$79,00"
"Idade Média no Cinema, A",978-85-7480-421-7,"José Rivair Macedo, Lênia Márcia Mongelli","História, Cinema, Idade média, Cultura medieval","R$45,00"
Idiotas & Demagogos - Pequeno Manual de Instruções da Democracia,85-7480-121-6,Almyr Gajardoni,"Política, Sociologia e Sociedade","R$43,00"
Ilíada,978-85-7480-393-7,"Odorico Mendes, Homero","Poesia, Literatura estrangeira, Mitologia, Literatura clássica, Ilustrado, Tradução, Odorico Mendes","R$120,00"
Ilhas Brasil,85-7480-124-0,Carlos Vogt,"Literatura brasileira, Poesia","R$43,00"
"Ilustre Casa de Ramires, A",978-85-7480-685-3,"Marise Hansen, Eça de Queirós","Romance, Literatura portuguesa, Ilustrado","R$43,50"
"Imagem Fria, A",85-7480-149-6,Tales Ab'Sáber,"Cinema, Cultura","R$45,00"
Imagens do Poder em Sêneca,85-7480-310-3,Marilena Vizentin,"Política, Sociologia e Sociedade, Economia","R$52,00"
Imigrantes Judeus do Oriente Médio - São Paulo e Rio de Janeiro,85-7480-162-3,Rachel Mizrahi,"História, Judaísmo, Ilustrado","R$120,00"
"Imigrantes, Mascates e Doutores",85-7480-107-0,Meir Kucinski,"Literatura brasileira, Contos, Judaísmo, Tradução","R$54,00"
"Imprensa Confiscada pelo DEOPS - 1924-1954, A",85-7480-152-6,"Maria Luiza Tucci Carneiro, Boris Kossoy","Livros sobre livros, Política, Memória, História, Censura, Jornalismo, Ilustrado","R$116,00"
Índia - Além do Olhar,978-85-7480-739-3,Marleine Paula Marcondes e Ferreira de Toledo,"Memória, Religião","R$35,00"
"Índios na Constituição, Os",978-85-7480-827-7,"Camila Loureiro Dias, Artionka Capiberibe","Direito, Cidadania, História, Ilustrado, Sociologia e Sociedade, Política, Jornalismo, Ecologia","R$30,00"
Informação. Linguagem. Comunicação,978-85-7480-647-1,Décio Pignatari,"Comunicação, Semiótica, Ilustrado","R$38,00"
Iniciação Boêmia & Textos Correlatos,978-85-7480-505-4,"Nuno Fidelino de Figueiredo, Fidelino de Figueiredo","Memória, Crítica literária, História","R$41,00"
Inocência,978-85-7480-832-1,"José de Paula Ramos Jr., Visconde de Taunay, Jefferson Cano","Ilustrado, Literatura brasileira, Romance","R$38,00"
Insólita Metrópole: São Paulo nas Crônicas de Paulo Bomfim,978-85-7480-636-5,Ana Luiza Martins,"Literatura brasileira, Crônicas, História","R$84,00"
"Insubmissão e Outros Escritos, A",978-85-7480-534-4,Liev Tolstói,"Literatura estrangeira, Política, Sociologia e Sociedade, Tradução","R$16,00"
"Intelecto em Ibn Sina (Avicena), O",978-85-7480-382-1,Miguel Attie Filho,"Filosofia, Cultura árabe","R$56,00"
Interior Via Satélite,978-85-7480-470-5,Marcos Siscar,"Literatura brasileira, Poesia, Ilustrado","R$52,00"
Interpretações: Crítica Literária e Psicanálise,978-85-7480-670-9,"Cleusa Rios P. Passos, Yudith Rosenbaum","Crítica literária, Psicanálise e Psicologia","R$48,00"
"Intervalo Semântico, O",978-85-7480-253-4,Carlos Vogt,"Semântica, Argumentação, Linguística","R$52,00"
"Intransitivos, Os",85-7480-146-1,Cacá Moreira de Souza,"Literatura brasileira, Contos","R$53,00"
Introdução ao Estudo de Fernando Pessoa,978-85-7480-753-9,Fernando Cabral Martins,"Crítica literária, História, Literatura portuguesa, Poesia","R$52,00"
Inula Niúla,978-85-7480-444-6,Michel Sleiman,"Literatura brasileira, Poesia","R$43,00"
Iracema - Lenda do Ceará,85-7480-324-3,"Leila Guenther, Paulo Franchetti, José de Alencar","Literatura brasileira, Romance, Ilustrado","R$38,00"
"Irrecusável Busca de Sentido, A",85-7480-258-1,Scarlett Marton,"Filosofia, Biografia, Memória","R$52,00"
Jacques Derrida - Entreatos de Leitura e Literatura-,978-85-7480-663-1,"Roberto Said, Luiz Fernando Ferreira Sá","Crítica literária, Literatura estrangeira, Filosofia","R$51,00"
Jogo de Palavras,978-85-7480-783-6,Jacó Guinsburg,Poesia,"R$58,00"
Jogo de Ronda,85-7480-026-0,Orlando Arruda,"Literatura brasileira, Contos","R$43,00"
"Jornada e a Clausura, A",85-7480-110-0,Raquel de Almeida Prado,"Crítica literária, Literatura estrangeira","R$52,00"
Joyce Era Louco?,978-85-7480-764-5,Donaldo Schüler,"Crítica literária, Psicanálise e Psicologia","R$50,00"
João Guimarães Rosa e a Saudade,85-7480-129-1,Susana Lages,"Literatura brasileira, Crítica literária","R$42,00"
Judeus e Judaísmo na Obra de Lasar Segall,85-7480-259-X,"Maria Luiza Tucci Carneiro, Celso Lafer","Arte, Ilustração e pintura, Sociologia e Sociedade, Judaísmo","R$120,00"
"Kafka/Foucault, sem Medos",85-7480-243-3,Edson Passetti,"Crítica literária, Psicanálise e Psicologia, Filosofia","R$38,00"
Kalevala - Poema Primeiro,978-85-7480-714-0,Elias Lönnrot,"Tradução, Mitologia, Poesia, Literatura estrangeira, Bilíngue","R$37,50"
Konstantinos Kaváfis - 60 Poemas,978-85-7480-780-5,"Trajano Vieira, Konstantinos Kaváfis","Poesia, Literatura estrangeira, Bilíngue, Tradução","R$39,00"
L'azur Blasé ou Ensaio do Fracasso sobre o Humor,978-85-7480-738-6,Guilherme Gontijo Flores,Poesia,"R$44,90"
Lacraus,85-7480-204-2,Miguel Jorge,"Literatura brasileira, Contos","R$51,00"
"Laetitia, sp",978-85-7480-545-0,Gabriel Pedrosa,"Literatura brasileira, Poesia, Ilustrado","R$36,00"
Lei n. 12.343 de 2 de Dezembro de 2010,978-85-7480-652-5,-,"Política, Economia, Cultura","R$38,00"
"Leitor Segundo G.H., O - Uma Análise do Romance A Paixão Segundo G.H. de Clarice Lispector",85-7480-257-3,Emília Amaral,"Literatura brasileira, Crítica literária","R$48,00"
Leituras Desarquivadas,978-85-7480-371-5,João Alexandre Barbosa,"Crítica literária, Literatura","R$56,00"
Leituras Imediatas,978-85-7480-834-5,Jerusa Pires Ferreira,"Comunicação, Cordel, Crítica literária, Ilustrado, Literatura brasileira","R$33,00"
Leituras Indispensáveis,978-85-7480-413-2,Aziz Ab Sáber,"Ecologia, Sociologia e Sociedade, Educação e Pedagogia, Cidadania","R$21,00"
Leituras Indispensáveis 2,978-85-7480-473-6,Aziz Ab Sáber,"Educação e Pedagogia, Ecologia, Sociologia e Sociedade, Cidadania","R$23,00"
Lembranças de Esquecer,85-85851-42-2,Camilo Guimarães,"Literatura brasileira, Poesia","R$29,80"
Leniza & Elis,85-7480-092-9,"Ariovaldo José Vidal, Joaquim Alves de Aguiar","Crítica literária, Biografia","R$44,00"
Leopardo dos Olhos de Fogo,85-85851-69-4,Carlos Eugênio Marcondes de Moura,"Ilustrado, Sociologia e Sociedade, Religião, Cultura","R$52,00"
Letras e Memória - Uma Breve História da Escrita,978-85-7480-414-9,Adovaldo Fernandes Sampaio,"Livros sobre livros, Memória, História, Linguística, Escrita, Ilustrado","R$98,00"
"Leão, o Africano",978-85-7480-759-1,Murilo Sebe Bon Meihy,"Cultura árabe, Cultura islâmica, História, Ilustrado","R$51,00"
Lições de Taxidermia,978-85-7480-445-3,Fernando Antônio Dusi Rocha,"Literatura brasileira, Poesia","R$45,00"
Lições do Acaso,978-85-7480-468-2,Luis Carlos de Menezes,"Literatura brasileira, Poesia","R$45,00"
"Lição Aproveitada, A - Modernismo e Cinema em Mário de Andrade",978-85-7480-556-6,João Manuel dos Santos Cunha,"Arte, Crítica literária, Cinema","R$48,00"
Liberalismo e Natureza - A Propriedade em John Locke,978-85-7480-476-7,Rodrigo Suzuki Cintra,"Economia, Filosofia, Direito","R$45,00"
Linguística Cognitiva - Uma Visão Geral e Aplicada,978-85-7480-526-9,Antônio Suárez Abreu,"Comunicação, Semiótica, Linguística, Cognição","R$43,00"
Lira dos Vinte Anos,978-85-7480-675-4,"Álvares de Azevedo, José Emílio Major Neto","Literatura brasileira, Poesia, Ilustrado","R$43,00"
Literatulogia,85-85851-55-4,Janilto Andrade,"Teoria literária, Literatura","R$26,00"
"Literatura Comparada e Relações Comunitárias, Hoje",978-85-7480-627-3,Benjamin Abdala Jr.,"Política, Literatura","R$50,00"
Literatura e Memória Política - Angola. Brasil. Moçambique. Portugal,978-85-7480-680-8,"Benjamin Abdala Jr., Rejane Vecchia Rocha e Silva","Crítica literária, Literatura portuguesa, Política","R$52,00"
Literatura Grega: Irradiações,978-85-7480-800-0,Donaldo Schüler,"História, Cultura grega, Literatura clássica, Filosofia","R$57,00"
"Literatura Portuguesa, A: Visões e Revisões",978-85-7480-409-5,"Annie Gisele Fernandes, Francisco Maciel Silveira","Crítica literária, Literatura portuguesa","R$38,00"
"Literatura, História e Política (3a. ed.)",978-85-7480-769-0,Benjamin Abdala Jr.,"Crítica literária, História, Literatura, Política","R$65,00"
Livro - Revista do NELE,2179-801X,NELE - Núcleo de Estudos do Livro e da Edição/USP,"Editoração, Livros sobre livros, Bibliofilia, Artes gráficas","R$33,00"
Livro 7/8 - revista do NELE,2179-801x,NELE - Núcleo de Estudos do Livro e da Edição/USP,"Artes gráficas, Bibliofilia, Editoração, Ilustrado, Livros sobre livros","R$88,00"
Livro e Liberdade,85-7480-178-X,Luciano Canfora,"Editoração, Livros sobre livros, Cultura","R$31,00"
Livro n. 6 - Revista do NELE,2179-801x,NELE - Núcleo de Estudos do Livro e da Edição/USP,"Artes gráficas, Editoração, Ilustrado, Livrarias, Livros sobre livros","R$88,00"
Livro n.3 - Revista do NELE,2179-801X,NELE - Núcleo de Estudos do Livro e da Edição/USP,"Editoração, Livros sobre livros, Bibliofilia, Artes gráficas","R$53,00"
Livro n.4 - Revista do NELE,2179-801X,NELE - Núcleo de Estudos do Livro e da Edição/USP,"Editoração, Livros sobre livros, Bibliofilia, Artes gráficas","R$55,00"
Livro n.5 - Revista do NELE,977-21-7980-100-9,NELE - Núcleo de Estudos do Livro e da Edição/USP,"Artes gráficas, Bibliofilia, Editoração, Livros sobre livros","R$77,00"
"Livro no Jornal, O",85-7480-082-1,Isabel Travancas,"Editoração, Jornalismo, Livros sobre livros, Ilustrado","R$42,00"
"Livro,",978-85-7480-600-6,Michel Melot,"Editoração, Livros sobre livros","R$99,00"
Livros e Leituras na Espanha do Século de Ouro,978-85-7480-694-5,Antonio Castillo Gómez,"Editoração, História, Livros sobre livros","R$49,00"
Livros e Subversão - Seis Estudos,978-85-7480-743-0,Sandra Reimão,"Livros sobre livros, História, Comunicação, Política","R$52,00"
"Livros Proibidos, Ideias Malditas",85-7480-071-6,Maria Luiza Tucci Carneiro,"Política, Ilustrado, História, Censura, Livros sobre livros","R$57,00"
"Livros, Editoras & Projetos",978-85-7480-356-2,"Jerusa Pires Ferreira, Jacó Guinsburg, Plinio Martins Filho, Maria Otilia Bocchini","Livros sobre livros, Editoração","R$30,00"
Lodo,978-85-7480-436-1,Luis Dolhnikoff,"Literatura brasileira, Poesia","R$62,00"
Lâmina do Tempo,85-7480-113-5,Moacyr Godoy Moreira,"Literatura brasileira, Contos","R$37,50"
"Lâmpada da Memória, A",978-85-7480-633-4,John Ruskin,"Arquitetura, Restauração","R$38,00"
Luci Collin - Antologia Poética (1984-2018),978-85-7480-796-6,Luci Collin,Poesia,"R$39,90"
"Lugar, Tempo, Olhar - Arte Brasileira na França Românica",978-85-7480-439-2,Anne Louyot,"Arte, Ilustração e pintura, Arquitetura, Bilíngue","R$75,00"
"Lusíadas, Os - Episódios",978-85-7480-802-4,"Luís de Camões, Ivan Teixeira","Poesia, Literatura portuguesa, Ilustrado","R$39,00"
Machado e Rosa - Leituras Críticas,978-85-7480-508-5,Marli Fantini Scarpelli,"Literatura brasileira, Crítica literária","R$85,00"
Macunaíma,978-85-7480-750-8,Mário de Andrade,"Arte, Ilustrado, Literatura brasileira, Artes gráficas, Romance, Literatura","R$310,00"
"Maias, Os",85-7480-044-9,Eça de Queirós,"Romance, Literatura portuguesa","R$83,00"
"Malavoglia, Os",85-7480-057-0,Giovanni Verga,"Tradução, Romance, Literatura estrangeira","R$53,00"
"Males do Tabaco e Outras Peças em um Ato, Os",85-7480-042-2,Anton Tchékhov,"Literatura estrangeira, Teatro, Tradução","R$34,00"
"Males do Tabaco, Os (3a. ed.)",978-85-7480-842-0,Anton Tchékhov,"Humor, Literatura clássica, Literatura estrangeira, Teatro, Tradução","R$39,00"
"Malhas da Cultura 1, As",978-85-7480-650-1,José Guilherme Pereira Leite,"Política, Economia, Cultura","R$43,00"
"Malhas da Cultura 2, As",978-85-7480-651-8,José Guilherme Pereira Leite,"Política, Economia, Cultura","R$45,00"
"Manuais de Desenho da Escrita, Os",978-85-7480-518-4,Maria Helena Werneck Bomeny,"Livros sobre livros, Design, Tipografia, Ilustrado","R$210,00"
Manual de Versificação Românica Medieval,85-7480-159-3,Segismundo Spina,"Idade média, Crítica literária, Poesia, Literatura medieval","R$41,00"
Manual do Estilo Desconfiado,978-85-7480-774-4,Fernando Paixão,"Teoria literária, Literatura brasileira, Crítica literária, Escrita","R$36,00"
Manuel Bandeira e a Música - com Três Poemas Visitados,978-85-7480-386-9,Pedro Marques,"Música, Literatura brasileira, Crítica literária","R$42,00"
"Marca do Leviatã, A - Linguagem e Poder em Hobbes",85-7480-116-X,Renato Janine Ribeiro,"Política, Filosofia","R$42,00"
Mariannita Luzzati,978-85-7480-447-7,Gabriel Pérez Barreiro,"Arte, Ilustração e pintura","R$41,00"
"Marx, Zola e a Prosa Realista",978-85-7480-453-8,Salete de Almeida Cara,"Crítica literária, Literatura estrangeira, Sociologia e Sociedade","R$46,00"
"MASSAO OHNO, Editor",978-85-7480-839-0,"Massao Ohno, Jose Armando Pereira da Silva","Design, História, Editoração, Biografia, Ilustrado, Livros sobre livros, Artes gráficas","R$180,00"
"Matéria Lítica: Drummond, Cabral, Neruda e Paz",978-85-7480-726-3,Mario Higa,"Poesia, Literatura, Crítica literária","R$52,00"
Matinas & Bagatelas,85-7480-144-5,Maria do Carmo Campos,"Literatura brasileira, Poesia","R$49,00"
Matrizes Impressas do Oral: Conto Russo no Sertão,978-85-7480-676-1,Jerusa Pires Ferreira,"Ilustrado, Livros sobre livros, Teoria literária, História, Literatura, Cordel","R$68,00"
Matzá com Moussaká - Histórias de Judeus e Gregos,978-85-7480-351-7,Táki Athanássios Cordás,"Memória, História, Judaísmo, Cultura grega, Ilustrado","R$52,00"
"Máquina do Mundo Repensada, A",85-7480-016-3,Haroldo de Campos,"Literatura brasileira, Poesia, Ilustrado","R$83,00"
"Máquina Peluda, A",85-85851-34-1,Ademir Assunção,"Literatura brasileira, Contos","R$42,00"
"Mário, Otávio - Cartas de Mário de Andrade a Otávio Dias Leite",85-7060-464-5,Marcos Antonio de Moraes,"Memória, Cultura","R$42,00"
Medeia,978-85-7480-658-7,"Trupersa - Trupe de Tradução de Teatro Antigo, Eurípides","Literatura clássica, Teatro, Bilíngue, Cultura grega, Tradução","R$42,00"
"Medicina de Os Lusíadas, A",85-7480-203-4,Pedro Nava,"Crítica literária, Medicina e Saúde, Literatura portuguesa","R$32,00"
Meio Mundo,978-85-7480-376-0,Álvaro Faleiros,"Literatura brasileira, Poesia, Ilustrado","R$28,00"
"Melancolias, Mercadorias: Dorival Caymmi, Chico Buarque, o Pregão de Rua e a Canção Popular-Comercial no Brasil",978-85-7480-502-3,Walter Garcia,"Música, Crítica musical","R$56,00"
Melodrama - O Gênero e sua Permanência,85-7480-029-5,Ivete Huppes,"Literatura estrangeira, Teatro","R$31,00"
Memória Futura,978-85-7480-519-1,Paulo Franchetti,"Literatura brasileira, Poesia","R$35,00"
Memórias Biográficas de Pintores Extraordinários,85-7480-041-4,William Beckford,"Arte, Memória","R$36,00"
Memórias de um Sargento de Milícias,978-85-7480-728-7,"Mamede Mustafa Jarouche, Manuel Antônio de Almeida","Literatura brasileira, Romance, Ilustrado","R$42,00"
Memórias de uma Avó,85-85851-75-9,Vavy Pacheco Borges,"Memória, Álbum interativo","R$70,00"
Memórias Póstumas de Brás Cubas,978-85-7480-598-6,"Antonio Medina Rodrigues, Machado de Assis","Literatura brasileira, Romance, Ilustrado","R$39,00"
Memorial de Mogi das Cruzes,85-7480-101-1,José Sebastião Witter,"Literatura brasileira, Crônicas","R$48,00"
Memorial de um Herege,85-7480-018-X,Samuel Reibscheid,"Literatura brasileira, Romance","R$45,00"
Mensagem,978-85-7480-702-7,"António Apolinário Lourenço, Fernando Pessoa","Poesia, Literatura portuguesa, Ilustrado","R$41,00"
Mercadorias e Futuro,978-85-7480-395-1,José Paes de Lira (Lirovsky),"Literatura brasileira, Contos","R$28,50"
Meu Fausto (Esboços),978-85-7480-542-9,Paul Valéry,"Literatura estrangeira, Teatro, Tradução","R$49,00"
Michelângelo - Cinquenta Poemas,978-85-7480-271-8,"Mauro Gama, Michelângelo","Poesia, Literatura estrangeira, Bilíngue","R$54,00"
Milton Hatoum - Itinerário para um Certo Relato,85-7480-315-4,Marleine Paula Marcondes e Ferreira de Toledo,"Literatura brasileira, Crítica literária","R$42,00"
"Mistério do Leão Rampante, O",85-7480-302-2,Rodrigo Lacerda,"Humor, Literatura brasileira, Romance, Ilustrado","R$92,00"
